meaning_ru,Akhvakh,Andi,Bagvalal,Botlikh,Chamalal,Godoberi,Karata-Tukita,Tindi
гора,бе'ча,бил,БÉСА,бел,БЕ̅Л,БĒЛ,КЬЕ'ДА,БÉС/А
дождь,цĪа'ри,цӏцӏа,̄С̄IĀЙ,цIцIай,СIА̅¹,ЦЦАЙИ́,Ц¯|АЙ,Ц̄ĀЙ
луна,боцĪо',порцӏцӏи,БО̄С̄I1,пу́рцIцIу,БОС̅I̅¹,ПУРЦЦУ́,NA,БÒЦ̄У
молния,пи'ри,суннир,ПАРДÁКЬ,пир/и́,А̀ᴴЗХОША,ПИРИ́,ПИРЕ',ГIÁШТИ
озеро,и'гьвара,игьур,NA,и́гьур,NA,NA,NA,И́ГЬУРА
радуга,чIарачIо',нур,ЦIАБÁЦIИ,NA,НУР,ЦIИ́ВУ-ЦIАВУ,Ц|ОРЦ|И'Н,ЦIАБАЦIИ́ᴴГЬУ
река,лъIе'с̄а,лълъенссо,ГЬÉ̄СА,и́нсс/а,ЛЪЕСА,ЛЪЛЪИНССÁ,ЛЪЕРС¯А',ЛЪÉС̅А
снег,аᴴжи',анзи,АᴴЗ,а́нзи,АᴴЗ¹,АНЗИ́,АᴴЗЕ',ÁᴴЗИ
солнце,ми'лъи,милъи,МИЛГЬ,ми́гьи,МИЛЪ¹,МИ́ЛЪИ,МИЛЪЕ',МИ́ЛЪИ
туман,гьи'ра,гьиро,ГЬÉРА,гьи́ра,ГЬА̀НА,NA,NA,ГЬИНÁВУ
закат,NA,заъиати,Б/́ӮКАР,лълъи́бдир,ЗАКА̅́Т,NA,СИНЕРЕКВА'Р,Б/ЍЛЪ̅АР
